Name,Count,Yards,Declined,Offsetting,Home_Count,Away_Count,Off_Count,Def_Count,ST_Count,Week,Year
Chop Block,0,0,0,0,0,0,0,0,0,1,2009
Clipping,0,0,0,0,0,0,0,0,0,1,2009
Defensive 12 On-field,1,5,0,0,0,1,0,0,1,1,2009
Defensive Delay of Game,1,5,0,0,1,0,0,1,0,1,2009
Defensive Holding,5,25,1,0,1,4,0,5,0,1,2009
Defensive Offside,16,80,2,0,10,6,0,16,0,1,2009
Defensive Pass Interference,4,57,0,1,1,3,0,4,0,1,2009
Defensive Too Many Men on Field,0,0,0,0,0,0,0,0,0,1,2009
Delay of Game,8,40,0,0,4,4,7,0,1,1,2009
Delay of Kickoff,0,0,0,0,0,0,0,0,0,1,2009
Disqualification,0,0,0,0,0,0,0,0,0,1,2009
Encroachment,4,20,0,0,2,2,0,4,0,1,2009
Face Mask,0,0,0,0,0,0,0,0,0,1,2009
Face Mask (15 Yards),3,37,0,0,2,1,0,3,0,1,2009
Face Mask (5 Yards),0,0,0,0,0,0,0,0,0,1,2009
Fair Catch Interference,1,15,0,0,0,1,0,0,1,1,2009
False Start,46,225,0,0,21,25,44,0,2,1,2009
Horse Collar Tackle,0,0,0,0,0,0,0,0,0,1,2009
Illegal Bat,0,0,0,0,0,0,0,0,0,1,2009
Illegal Blindside Block,2,14,0,0,0,2,0,0,2,1,2009
Illegal Block Above the Waist,3,30,0,0,2,1,1,0,2,1,2009
Illegal Contact,6,30,1,1,3,3,0,6,0,1,2009
Illegal Crackback,0,0,0,0,0,0,0,0,0,1,2009
Illegal Cut,0,0,0,0,0,0,0,0,0,1,2009
Illegal Double-Team Block,0,0,0,0,0,0,0,0,0,1,2009
Illegal Formation,6,30,1,1,1,5,6,0,0,1,2009
Illegal Forward Handoff,0,0,0,0,0,0,0,0,0,1,2009
Illegal Forward Pass,0,0,1,0,0,0,0,0,0,1,2009
Illegal Kick,1,10,0,0,0,1,0,0,1,1,2009
Illegal Kick/Kicking Loose Ball,0,0,0,0,0,0,0,0,0,1,2009
Illegal Motion,1,5,1,0,0,1,1,0,0,1,2009
Illegal Onside Kick,0,0,0,0,0,0,0,0,0,1,2009
Illegal Peelback,0,0,0,0,0,0,0,0,0,1,2009
Illegal Procedure,0,0,0,0,0,0,0,0,0,1,2009
Illegal Receiver Pass,0,0,0,0,0,0,0,0,0,1,2009
Illegal Shift,2,10,0,0,2,0,2,0,0,1,2009
Illegal Substitution,1,5,0,0,0,1,1,0,0,1,2009
Illegal Touch Kick,0,0,0,0,0,0,0,0,0,1,2009
Illegal Touch Pass,0,0,0,0,0,0,0,0,0,1,2009
Illegal Use of Hands,5,31,1,1,3,2,0,3,2,1,2009
Illegal Wedge,0,0,0,0,0,0,0,0,0,1,2009
Illegally Kicking Ball,0,0,0,0,0,0,0,0,0,1,2009
Ineligible Downfield Kick,1,5,0,0,1,0,0,0,1,1,2009
Ineligible Downfield Pass,1,5,1,0,1,0,1,0,0,1,2009
Intentional Grounding,0,0,0,1,0,0,0,0,0,1,2009
Interference with Opportunity to Catch,0,0,0,0,0,0,0,0,0,1,2009
Invalid Fair Catch Signal,0,0,0,0,0,0,0,0,0,1,2009
Kick Catch Interference,0,0,0,0,0,0,0,0,0,1,2009
Kickoff Out of Bounds,0,0,0,0,0,0,0,0,0,1,2009
Leaping,0,0,0,0,0,0,0,0,0,1,2009
Leverage,0,0,0,0,0,0,0,0,0,1,2009
Low Block,2,23,0,0,1,1,1,0,1,1,2009
Lowering the Head to Initiate Contact,0,0,0,0,0,0,0,0,0,1,2009
Lowering the Head to Make Forcible Contact,0,0,0,0,0,0,0,0,0,1,2009
Neutral Zone Infraction,1,5,0,0,1,0,0,1,0,1,2009
